Date,Open,High,Low,Close,Volume
9/18/2017,35.25,35.97,35.24,35.93,"698,203"
9/19/2017,36,36.45,35.83,36.34,"836,243"
9/20/2017,36.35,36.83,36.15,36.77,"898,178"
9/21/2017,36.76,36.98,36.52,36.85,"825,492"
9/22/2017,36.78,36.95,36.71,36.86,"480,518"
9/25/2017,36.84,36.9,36.61,36.86,"556,998"
9/26/2017,36.95,37.31,36.95,37.15,"745,289"
9/27/2017,37.4,37.58,37.15,37.25,"786,939"
9/28/2017,36.69,37.34,36.69,37.16,"1,311,119"
9/29/2017,37.25,37.82,37.25,37.39,"865,660"
10/2/2017,37.41,37.82,37.31,37.69,"723,885"
10/3/2017,38.14,38.2,37.59,37.94,"1,366,845"
10/4/2017,37.97,38.14,37.91,38.01,"1,745,704"
10/5/2017,38.02,38.13,37.82,37.93,"1,270,461"
10/6/2017,38.05,38.06,37.6,37.69,"699,362"
10/9/2017,37.75,37.83,37.44,37.64,"1,932,368"
10/10/2017,37.85,38,37.72,37.79,"617,014"
10/11/2017,37.88,37.88,37.47,37.5,"922,908"
10/12/2017,37.8,38.5,37.62,38.33,"1,351,849"
10/13/2017,38.5,38.6,38.32,38.56,"523,871"
10/16/2017,38.62,38.74,38,38.11,"1,143,053"
10/17/2017,38.07,38.07,37.45,37.61,"691,271"
10/18/2017,37.74,37.97,37.69,37.74,"506,250"
10/19/2017,37.67,37.77,37.4,37.77,"362,801"
10/20/2017,37.82,37.99,37.62,37.94,"522,822"
10/23/2017,37.86,38.17,37.69,37.74,"870,052"
10/24/2017,37.88,38.13,37.64,37.73,"536,001"
10/25/2017,37.95,38.23,37.48,37.57,"1,634,355"
10/26/2017,37.63,37.72,37.3,37.47,"1,130,788"
10/27/2017,37.46,37.89,37.4,37.54,"1,255,338"
10/30/2017,37.48,37.78,37.36,37.4,"655,963"
10/31/2017,37.57,37.92,37.48,37.79,"433,038"
11/1/2017,37.9,38.14,37.63,37.77,"450,925"
11/2/2017,37.78,37.88,37.54,37.81,"583,394"
11/3/2017,37.81,38.24,37.69,38.13,"1,002,659"
11/6/2017,37.75,37.92,35.71,36.6,"2,314,928"
11/7/2017,38.19,38.61,37.25,37.39,"1,427,818"
11/8/2017,37.44,37.5,36.98,37.07,"1,609,412"
11/9/2017,36.86,37.14,36.6,36.62,"615,934"
11/10/2017,36.48,36.84,36.43,36.59,"611,176"
11/13/2017,36.22,36.42,36.04,36.24,"757,943"
11/14/2017,36.07,36.61,35.98,36.59,"1,003,679"
11/15/2017,36.54,36.73,36.39,36.43,"1,224,962"
11/16/2017,36.73,37.15,36.65,37.1,"614,785"
11/17/2017,37.08,37.1,36.92,37.02,"574,429"
11/20/2017,37.03,37.19,36.99,37.17,"630,692"
11/21/2017,37.48,37.99,37.48,37.76,"809,469"
11/22/2017,37.67,37.99,37.42,37.45,"602,683"
11/24/2017,37.53,37.67,37.01,37.28,"249,669"
11/27/2017,37.3,37.69,37.22,37.29,"797,571"
11/28/2017,37.47,37.79,37.24,37.74,"622,102"
11/29/2017,37.7,38.17,37.4,38,"859,712"
11/30/2017,37.84,38.77,37.76,38.69,"1,023,214"
12/1/2017,38.79,38.91,38.07,38.55,"870,009"
12/4/2017,38.9,39.24,38.46,38.6,"1,024,594"
12/5/2017,38.6,39.02,38.42,38.56,"1,119,440"
12/6/2017,38.43,38.76,38.09,38.12,"559,474"
12/7/2017,38.1,38.36,38.02,38.11,"441,998"
12/8/2017,38.37,38.45,38.04,38.21,"480,064"
12/11/2017,38.28,38.67,38.08,38.37,"452,139"
12/12/2017,38.52,38.86,38.2,38.74,"622,037"
12/13/2017,38.66,38.87,38.32,38.32,"631,381"
12/14/2017,38.36,38.39,37.84,37.87,"425,447"
12/15/2017,37.97,38.46,37.96,38.21,"1,177,528"
12/18/2017,38.47,39.38,38.47,39.07,"802,008"
12/19/2017,39.1,39.18,38.66,38.96,"835,988"
12/20/2017,39.07,39.3,38.84,38.84,"328,729"
12/21/2017,39.04,39.28,38.66,38.66,"513,480"
12/22/2017,38.68,38.82,38.54,38.72,"471,861"
12/26/2017,38.59,38.71,38.31,38.34,"625,787"
12/27/2017,38.39,38.59,38.14,38.45,"391,262"
12/28/2017,38.46,38.76,38.16,38.3,"307,412"
12/29/2017,38.34,38.39,38.09,38.13,"372,991"
1/2/2018,38.24,38.29,37.91,37.96,"488,675"
1/3/2018,37.99,38.26,37.99,38.06,"672,788"
1/4/2018,38.18,38.38,38.04,38.04,"1,709,104"
1/5/2018,38.19,38.58,37.96,38.36,"1,356,576"
1/8/2018,38.5,39.32,38.42,39.27,"545,105"
1/9/2018,39.5,39.5,38.99,39,"725,081"
1/10/2018,39.07,39.22,38.89,39.17,"525,130"
