Date,Open,High,Low,Close,Volume
9/18/2017,63.24,63.32,62.54,62.74,"619,611"
9/19/2017,62.88,63.21,62.75,63,"418,850"
9/20/2017,63.25,63.86,62.91,63.22,"654,658"
9/21/2017,63.34,64.49,63.34,64.31,"602,452"
9/22/2017,64.39,64.93,64.35,64.63,"929,261"
9/25/2017,64.61,64.83,64.21,64.4,"652,532"
9/26/2017,64.46,64.46,63.83,64.13,"719,315"
9/27/2017,64.32,64.66,64.03,64.07,"701,596"
9/28/2017,64.4,64.6,64.07,64.37,"776,625"
9/29/2017,64.39,64.54,64.13,64.25,"1,269,213"
10/2/2017,63.79,64.14,63.65,63.88,"730,768"
10/3/2017,63.96,64.38,63.94,64.34,"674,149"
10/4/2017,64.41,64.78,64.29,64.71,"859,213"
10/5/2017,64.47,64.63,64.3,64.42,"843,159"
10/6/2017,64.29,64.36,63.99,64.21,"564,240"
10/9/2017,64.32,64.32,63.82,63.85,"301,214"
10/10/2017,64.4,64.83,64.32,64.55,"1,073,763"
10/11/2017,64.65,64.96,64.54,64.95,"842,042"
10/12/2017,64.75,64.84,64.14,64.4,"773,243"
10/13/2017,64.57,64.89,64.37,64.6,"826,395"
10/16/2017,64.42,64.72,64.32,64.45,"518,408"
10/17/2017,64.41,64.6,64.21,64.43,"461,106"
10/18/2017,64.67,64.88,64.58,64.71,"783,626"
10/19/2017,64.34,65.07,64.34,64.82,"452,944"
10/20/2017,64.54,64.75,64.06,64.15,"851,969"
10/23/2017,64.28,64.48,64.15,64.27,"436,959"
10/24/2017,64.48,64.7,64.45,64.65,"389,933"
10/25/2017,64.77,65.02,64.04,64.25,"730,636"
10/26/2017,64.28,64.63,64.25,64.28,"321,702"
10/27/2017,64.06,64.61,63.77,64.59,"389,071"
10/30/2017,64.51,64.89,64.42,64.61,"414,822"
10/31/2017,64.48,65.02,64.44,64.52,"698,159"
11/1/2017,64.82,64.85,64.51,64.59,"493,691"
11/2/2017,64.77,65.4,64.73,65.33,"621,351"
11/3/2017,65.54,65.62,65.33,65.53,"428,368"
11/6/2017,65.48,65.85,65.41,65.82,"539,236"
11/7/2017,65.42,65.53,65.18,65.53,"337,423"
11/8/2017,65.72,65.86,65.52,65.8,"394,927"
11/9/2017,65.47,65.99,65.38,65.94,"332,654"
11/10/2017,65.84,65.9,65.2,65.59,"294,034"
11/13/2017,65.06,65.6,65.06,65.34,"402,340"
11/14/2017,65.19,65.31,64.91,65.29,"464,273"
11/15/2017,64.9,65.26,64.7,65.16,"365,363"
11/16/2017,65.51,65.95,65.5,65.85,"339,794"
11/17/2017,65.68,66.35,65.49,66.26,"441,018"
11/20/2017,66.19,66.55,66.07,66.28,"444,365"
11/21/2017,66.58,66.78,65.78,65.82,"670,453"
11/22/2017,66.08,66.35,65.88,66.15,"549,094"
11/24/2017,66.14,66.29,65.98,66.16,"168,284"
