Date,Open,High,Low,Close,Volume
9/18/2017,25.91,26.09,25.66,25.98,"2,516,382"
9/19/2017,26.07,26.18,25.83,26.16,"3,450,535"
9/20/2017,26.05,26.24,25.97,26.21,"2,400,002"
9/21/2017,26.12,26.22,25.86,26.21,"2,346,193"
9/22/2017,26.19,26.81,26.11,26.75,"2,653,183"
9/25/2017,26.63,26.82,25.78,26.21,"3,182,339"
9/26/2017,26.25,26.57,25.99,26.36,"3,587,072"
9/27/2017,26.48,26.89,26.41,26.69,"2,631,282"
9/28/2017,26.73,27.26,26.66,27.24,"2,351,211"
9/29/2017,27.18,27.2,26.42,26.48,"2,163,762"
10/2/2017,26.39,26.93,26.21,26.39,"3,414,213"
10/3/2017,26.41,26.61,26.14,26.59,"1,894,473"
10/4/2017,26.7,26.72,25.58,25.7,"3,029,882"
10/5/2017,25.66,25.74,24.64,24.68,"4,584,191"
10/6/2017,24.7,25.15,24.7,24.86,"3,610,571"
10/9/2017,24.85,25.42,24.81,25.36,"2,122,574"
10/10/2017,25.41,25.72,25.24,25.71,"2,875,349"
10/11/2017,25.62,25.66,25.33,25.61,"3,300,874"
10/12/2017,25.56,26,25.49,25.75,"2,330,836"
10/13/2017,25.66,25.7,24.97,25.2,"1,687,372"
10/16/2017,25.21,25.51,25.15,25.33,"1,653,116"
10/17/2017,25.39,25.44,24.76,24.84,"2,603,977"
10/18/2017,25,25.27,24.99,25.04,"1,402,553"
10/19/2017,25,25.59,24.92,25.55,"1,567,071"
10/20/2017,25.66,26.03,25.5,25.72,"1,817,983"
10/23/2017,25.82,26.34,25.73,26.25,"2,500,076"
10/24/2017,26.21,26.56,26.2,26.41,"2,331,936"
10/25/2017,26.34,26.37,25.86,25.94,"2,996,368"
10/26/2017,26.05,26.56,25.98,26.51,"1,976,348"
10/27/2017,26.51,26.51,26.08,26.27,"1,869,975"
10/30/2017,26.25,26.31,25.21,25.3,"2,464,224"
10/31/2017,25.26,25.26,24.59,24.74,"2,831,794"
11/1/2017,24.81,24.83,24.19,24.49,"2,503,572"
11/2/2017,24.55,24.6,23.63,23.86,"3,883,418"
11/3/2017,23.76,24.4,23.59,24.06,"2,352,877"
11/6/2017,24.08,24.48,23.92,24.34,"2,067,575"
11/7/2017,24.45,24.51,23.77,24.02,"2,076,806"
11/8/2017,24.12,25.35,23.99,25.25,"3,135,210"
