Date,Open,High,Low,Close,Volume
9/18/2017,80.21,81.12,79.95,80,"8,175,842"
9/19/2017,80.18,80.46,79.7,80.05,"6,174,258"
9/20/2017,80.17,80.56,79.87,80.5,"5,318,194"
9/21/2017,80.57,80.57,79.72,80.01,"6,430,256"
9/22/2017,79.89,80.08,79.25,79.53,"5,755,262"
9/25/2017,78.92,80.1,78.86,79.15,"8,547,788"
9/26/2017,79.04,79.54,78.92,79.39,"5,835,332"
9/27/2017,79.42,79.57,78.67,79.29,"6,314,523"
9/28/2017,79,79.08,78.12,78.95,"12,372,825"
9/29/2017,78.85,79,77.98,78.14,"10,352,940"
10/2/2017,77.9,78.83,77.5,78.45,"7,709,020"
10/3/2017,78.83,79.66,78.75,79.22,"7,936,742"
10/4/2017,79.27,79.78,79.07,79.09,"6,173,376"
10/5/2017,79.17,79.81,79.08,79.41,"5,138,019"
10/6/2017,78.78,79.17,78.25,79,"6,246,430"
10/9/2017,79.93,81.38,79.4,80.53,"13,493,044"
10/10/2017,82.68,84.88,82.61,84.13,"25,123,962"
10/11/2017,84.58,86.29,84.1,85.73,"18,561,005"
10/12/2017,85.7,86.37,85.06,86.1,"12,876,987"
10/13/2017,86.24,86.95,86.24,86.62,"9,389,049"
10/16/2017,86.58,86.62,85.02,85.74,"9,300,326"
10/17/2017,85.5,86.36,85.32,85.98,"5,851,546"
10/18/2017,86.15,86.37,86.01,86.22,"5,472,088"
10/19/2017,86.15,86.66,85.77,86.4,"7,028,958"
10/20/2017,86.6,87.45,86.28,87.44,"7,617,753"
10/23/2017,87.34,88.92,87.26,88.65,"10,586,033"
10/24/2017,88.69,88.8,87.91,87.98,"7,700,872"
10/25/2017,87.85,88.6,87.43,88.48,"6,408,003"
10/26/2017,88.66,89.11,88.02,88.62,"6,484,941"
10/27/2017,88.14,88.39,87.15,88.17,"6,617,000"
10/30/2017,87.94,87.95,86.39,86.95,"7,051,993"
10/31/2017,86.86,87.46,86.6,87.31,"6,006,933"
11/1/2017,87.07,88.4,87,87.94,"6,176,079"
11/2/2017,88.28,89.17,87.8,88.8,"5,183,089"
11/3/2017,89.02,89.88,88.76,89.68,"6,512,059"
11/6/2017,89.42,89.68,88.68,88.7,"5,257,445"
11/7/2017,88.87,89.06,88.31,88.95,"5,349,331"
11/8/2017,89.11,90.42,89.1,90.26,"6,767,543"
11/9/2017,89.94,90.57,89.35,90.3,"6,904,457"
11/10/2017,90.24,91.69,90.2,90.92,"7,647,801"
11/13/2017,91.04,91.98,90.87,90.99,"8,491,567"
11/14/2017,90.7,91.2,90.18,91.09,"9,834,133"
11/15/2017,90.34,90.85,89.65,89.83,"8,433,438"
11/16/2017,95.12,99.68,94.72,99.62,"38,122,384"
11/17/2017,99.24,100.13,96.58,97.47,"23,575,513"
11/20/2017,96.44,97.64,95.76,97.48,"16,394,324"
11/21/2017,97.74,97.92,96.32,96.52,"12,746,499"
11/22/2017,96.65,96.81,96.11,96.41,"8,918,247"
11/24/2017,96.87,97.23,96.53,96.62,"4,496,117"
11/27/2017,96.85,97.65,96.3,96.62,"8,904,890"
11/28/2017,96.59,96.89,95.82,96.77,"8,709,645"
11/29/2017,97.22,98.26,96.88,97.56,"11,424,004"
11/30/2017,98.09,98.44,96.51,97.23,"12,854,680"
12/1/2017,97.61,97.71,96.23,97.35,"8,296,198"
12/4/2017,97.73,97.96,96.68,97.01,"8,956,524"
12/5/2017,97,97.94,96.92,97.83,"9,010,067"
12/6/2017,97.99,98.14,97.24,97.28,"7,140,986"
12/7/2017,97.06,97.58,96.65,96.78,"7,502,602"
12/8/2017,96.67,96.7,96.14,96.55,"5,821,061"
12/11/2017,96.44,97.27,96.29,96.93,"8,928,919"
12/12/2017,96.85,97.24,96.6,96.7,"7,810,642"
12/13/2017,96.66,97.91,96.55,97.76,"7,879,383"
12/14/2017,98,98.57,97.1,97.13,"9,385,769"
12/15/2017,97.71,98.49,96.91,97.11,"16,142,788"
12/18/2017,97.38,98.17,97.36,97.9,"7,964,436"
12/19/2017,99.91,99.91,98.29,98.8,"12,012,168"
12/20/2017,99.45,99.65,98.45,98.75,"10,729,805"
12/21/2017,99,99.33,97.98,98.06,"7,369,128"
12/22/2017,98.29,98.42,97.68,98.21,"5,478,682"
12/26/2017,98.35,99.44,98.35,99.16,"4,295,891"
12/27/2017,99.56,99.6,98.83,99.26,"5,140,793"
12/28/2017,99.52,99.62,99.12,99.4,"9,763,936"
12/29/2017,99.4,99.69,98.75,98.75,"7,144,273"
1/2/2018,99.3,99.79,98.52,98.59,"10,150,490"
1/3/2018,98.85,100,98.77,99.45,"8,903,576"
1/4/2018,99.54,99.78,98.91,99.54,"6,830,407"
